epoch,wall_time_s,train_loss,train_soft_loss,train_hard_loss,train_acc,val_loss,val_soft_loss,val_hard_loss,val_acc,student_logits_std,teacher_logits_std,teacher_std_over_T
1,214.76,1.900846,10.202802,0.978406,0.5323,1.457594,7.720677,0.761696,0.6651,3.8484,5.9753,1.4938
2,106.53,1.17603,6.180352,0.619994,0.7409,0.999621,5.486974,0.501026,0.7928,4.6891,5.9716,1.4929
3,109.24,1.110846,5.661951,0.605168,0.7762,1.017428,5.141727,0.559172,0.7904,4.9583,5.9766,1.4942
4,109.36,1.019455,5.18066,0.557099,0.7995,0.889835,4.795339,0.45589,0.82,5.1186,5.9696,1.4924
5,108.07,0.945932,4.830542,0.514309,0.8114,0.894182,4.552903,0.487657,0.8115,5.2764,5.9757,1.4939
6,109.03,1.265169,4.274264,0.512896,0.8275,1.190961,3.911417,0.510847,0.8283,5.4615,5.9778,1.4945
7,107.02,1.270417,4.198222,0.538466,0.8259,1.250082,4.013729,0.55917,0.8203,5.5318,5.9745,1.4936
8,107.88,1.167872,3.897538,0.485455,0.8368,1.240728,4.000514,0.550781,0.8229,5.5692,5.9733,1.4933
9,108.2,1.137665,3.773757,0.478642,0.8399,1.080402,3.603095,0.449729,0.8477,5.6185,5.968,1.492
10,104.72,1.101302,3.632004,0.468626,0.8452,1.057188,3.53257,0.438342,0.8499,5.6272,5.9738,1.4935
11,106.47,1.034898,3.403628,0.442715,0.8574,1.025162,3.309448,0.454091,0.8533,5.6301,5.9726,1.4932
12,105.44,0.996192,3.256417,0.431136,0.8662,1.024978,3.397272,0.431904,0.8491,5.6727,5.9749,1.4937
13,108.15,0.953515,3.106033,0.415386,0.8695,0.938616,2.877865,0.453803,0.8757,5.6951,5.9767,1.4942
14,108.15,0.928465,3.006954,0.408842,0.874,1.038996,3.157176,0.509451,0.8571,5.7221,5.9729,1.4932
15,105.44,0.908144,2.936042,0.40117,0.8779,1.040157,3.294507,0.47657,0.8579,5.7203,5.9737,1.4934
16,106.66,0.845269,2.7068,0.379887,0.8854,0.843803,2.625843,0.398293,0.8869,5.7352,5.9726,1.4931
17,107.43,0.785369,2.488651,0.359549,0.8945,0.72813,2.317499,0.330788,0.9027,5.7644,5.9741,1.4935
18,105.03,0.767564,2.410548,0.356818,0.898,0.618662,2.069872,0.255859,0.9179,5.7473,5.9734,1.4933
19,105.76,0.767525,2.413427,0.356049,0.8978,0.636406,2.037015,0.286253,0.9125,5.7599,5.9765,1.4941
20,107.93,0.742779,2.311097,0.3507,0.9,0.751935,2.124878,0.408699,0.904,5.766,5.9731,1.4933
21,104.4,0.699687,2.186235,0.32805,0.9046,0.711562,2.306966,0.312711,0.9059,5.7635,5.9775,1.4944
22,107.32,0.674987,2.08762,0.321829,0.9111,0.633688,1.968188,0.300063,0.9109,5.7836,5.9764,1.4941
23,107.23,0.687712,2.135535,0.325756,0.9066,0.968943,2.759802,0.521228,0.8773,5.7776,5.979,1.4948
24,108.08,0.676033,2.085231,0.323733,0.9083,0.8451,2.482937,0.435641,0.8912,5.7912,5.9685,1.4921
25,108.03,0.652606,2.004414,0.314654,0.9142,0.600233,1.796771,0.301098,0.9181,5.8045,5.9747,1.4937
26,107.48,0.616841,1.899868,0.296084,0.9182,0.562582,1.76978,0.260783,0.9243,5.7928,5.9731,1.4933
27,105.03,0.633911,1.974081,0.298869,0.9142,0.546835,1.705533,0.25716,0.9211,5.7845,5.9748,1.4937
28,107.6,0.592926,1.835733,0.282224,0.9191,0.624602,1.853772,0.317309,0.9149,5.7992,5.9766,1.4941
29,107.16,0.60064,1.8737,0.282375,0.9187,0.835053,2.283872,0.472848,0.8989,5.8045,5.976,1.494
30,109.17,0.593117,1.815777,0.287452,0.9201,0.560627,1.719073,0.271016,0.9269,5.8128,5.9731,1.4933
