epoch,wall_time_s,train_loss,train_soft_loss,train_hard_loss,train_acc,val_loss,val_soft_loss,val_hard_loss,val_acc,student_logits_std,teacher_logits_std,teacher_std_over_T
1,90.8,7.857974,10.701962,1.222002,0.523,4.574868,6.088502,1.043056,0.7203,4.0768,5.9709,1.4927
2,91.09,4.09685,5.472277,0.88752,0.7613,3.790048,5.046272,0.858859,0.7709,5.141,5.9715,1.4929
3,90.69,3.869089,5.15343,0.872294,0.7761,3.535887,4.708323,0.800202,0.7997,5.2645,5.9737,1.4934
4,92.04,3.623287,4.817222,0.83744,0.7886,4.311586,5.680782,1.116795,0.7629,5.356,5.9771,1.4943
5,91.48,3.316737,4.41788,0.747403,0.8054,3.334855,4.420489,0.80171,0.7971,5.4424,5.9744,1.4936
6,88.91,3.140774,4.184236,0.706029,0.8168,3.182188,4.243299,0.706263,0.8075,5.5356,5.9752,1.4938
7,88.29,3.014363,4.017487,0.673741,0.8209,2.939907,3.91061,0.674933,0.8264,5.6249,5.9652,1.4913
8,91.39,2.856047,3.803911,0.644366,0.829,2.678779,3.612433,0.500253,0.8491,5.6598,5.9715,1.4929
9,90.69,2.765217,3.68162,0.626944,0.8354,2.559606,3.399639,0.599527,0.8469,5.6863,5.975,1.4938
10,92.41,2.611832,3.466306,0.61806,0.8475,2.606417,3.426962,0.691813,0.8531,5.6953,5.9753,1.4938
11,91.47,2.542081,3.366746,0.617863,0.8529,2.218826,2.927976,0.564141,0.8789,5.721,5.9731,1.4933
12,93.2,2.490617,3.294542,0.614793,0.8578,2.768193,3.643017,0.726937,0.8429,5.7241,5.9736,1.4934
13,92.4,2.414845,3.196559,0.590846,0.8595,2.412076,3.186528,0.605022,0.8595,5.7352,5.9725,1.4931
14,92.62,2.350085,3.110976,0.574674,0.8665,2.256903,3.010373,0.498806,0.8717,5.7384,5.9708,1.4927
15,90.77,2.231083,2.95469,0.542667,0.8715,2.313323,3.045962,0.603831,0.8725,5.7403,5.9716,1.4929
16,92.03,2.213911,2.928045,0.547597,0.8724,2.622254,3.418941,0.763317,0.8533,5.7569,5.9748,1.4937
17,92.11,2.158676,2.85528,0.533269,0.8734,2.089387,2.755885,0.534225,0.88,5.7527,5.9789,1.4947
18,91.32,2.152119,2.846254,0.53247,0.8757,2.906835,3.820339,0.775325,0.8211,5.7689,5.9724,1.4931
19,89.77,2.059789,2.721666,0.515409,0.8813,2.325078,3.076163,0.572549,0.8733,5.7632,5.9704,1.4926
20,89.95,1.938219,2.557691,0.492785,0.8867,2.317857,3.037404,0.638915,0.8773,5.7489,5.9711,1.4928
21,90.35,1.858679,2.451138,0.476277,0.8923,1.860511,2.445876,0.494657,0.8963,5.7588,5.9715,1.4929
22,88.92,1.759271,2.314735,0.463188,0.899,1.897532,2.467399,0.567842,0.8973,5.7579,5.9768,1.4942
23,91.97,1.737155,2.282253,0.46526,0.9019,1.371024,1.812012,0.342052,0.9203,5.765,5.9753,1.4938
24,90.87,1.637875,2.153099,0.435684,0.9058,1.485044,1.951955,0.395586,0.9112,5.7765,5.9731,1.4933
25,89.09,1.566894,2.059307,0.417931,0.9099,1.575674,2.059131,0.447608,0.9104,5.7709,5.9744,1.4936
26,92.25,1.56291,2.052209,0.421213,0.9113,1.363185,1.785434,0.377939,0.9197,5.7701,5.9709,1.4927
27,90.3,1.485727,1.944093,0.416207,0.9156,1.214925,1.590252,0.339162,0.9283,5.766,5.9707,1.4927
28,92.03,1.397839,1.828525,0.392905,0.9185,1.301918,1.700978,0.37078,0.9227,5.7657,5.9657,1.4914
29,90.02,1.427086,1.869499,0.394789,0.915,1.687428,2.225238,0.432538,0.8987,5.7699,5.974,1.4935
30,91.78,1.367424,1.793152,0.374059,0.922,1.261414,1.633035,0.3943,0.9301,5.785,5.9777,1.4944
31,91.87,1.352863,1.771634,0.375732,0.9207,1.629214,2.115062,0.495569,0.9053,5.778,5.9734,1.4934
32,90.06,1.335052,1.747582,0.372481,0.9238,2.151177,2.797372,0.643387,0.8819,5.7706,5.9724,1.4931
33,88.61,1.321396,1.726194,0.37687,0.9236,1.731999,2.261693,0.496047,0.9021,5.7812,5.9702,1.4926
